paper_id,url,story_name,publication,date
sharing,https://www.washingtonpost.com/news/wonk/wp/2016/01/06/sorry-you-wont-be-sharing-your-toothbrush-for-money/,What we won't share,The Washington Post,1/6/2016
uber_price,https://www.wsj.com/articles/ubers-driver-dilemma-fare-hikes-and-cuts-dont-change-pay-1510491602,Uber’s Driver Dilemma: Fare Hikes and Cuts Don’t Change Pay,Wall Street Journal,11/13/2017
uber_price,https://qz.com/1129367/driving-for-uber-will-never-be-a-great-job-thanks-to-these-simple-economics/,Simple economics explain why driving for Uber will never be a great job,Quartz,11/14/2018
airbnb,https://www.theguardian.com/technology/2019/aug/07/emoji-house-airbnb-california-manhattan-beach,The hot pink emoji house and the problem of Airbnb neighbors from hell,The Guardian,8/7/2019
WageHistory,https://www.nytimes.com/2018/02/16/business/economy/salary-history-laws.html,"If a Law Bars Asking Your Past Salary, Does It Help or Hurt?",The New York Times,2/16/2018
minimum_wage,https://www.nytimes.com/2017/01/10/business/economy/national-minimum-wage-.html?_r=0,Higher minimum wage may have losers,The New York Times,1/17/2017
minimum_wage,https://www.bloomberg.com/opinion/articles/2017-04-26/minimum-wage-warriors-see-certainty-in-ambiguity,Minimum wage warriers see certainty in ambiguity,Bloomberg View,4/26/2017
longrun,https://www.ft.com/content/a72f7e56-3724-11e8-8b98-2f31af407cc8,Let gig economy workers control their data too,Financial Times,4/3/2018
longrun,https://qz.com/1244155/good-luck-leaving-your-uber-driver-less-than-five-stars/,Good luck leaving your Uber driver less than 5 stars,Quartz,4/5/2018
longrun,https://fortune.com/2018/04/05/uber-negative-ratings-stars/,Giving Your Uber Driver 5 Stars Isn’t Helping Anyone,Fortune,4/5/2018
minimum_wage,http://www.wsj.com/articles/price-floors-and-employer-preferences-evidence-from-a-minimum-wage-experiment-1484953328?mg=id-wsj,Central Bank Research,Wall Street Journal,4/20/2017
flash,https://sg.news.yahoo.com/happens-tech-workers-skills-become-090302581.html,What happens to tech workers when their skills become obseolete? ,Quartz,9/6/2019
WageHistory,https://www.marketwatch.com/story/when-employers-cant-ask-about-salary-history-workers-can-see-double-digit-jumps-in-pay-2020-01-14,This is what happens when employers can’t ask job applicants about salary history,MarketWatch,1/28/2020
uber_price,https://apnews.com/article/north-america-financial-markets-technology-us-news-business-dee67b607a034699abf4ec14bab5cb1c,Why the ‘gig’ economy may not be the workforce of the future,AP News,9/24/2018
uber_price,,Passengers May Pay a Lot More Drivers Won't Accept Much less,,